hco_cd,apims_id,YRMO,Sales,month_no
ENTID_13676296,708127,2025-10,0.00000,m1
ENTID_13957296,708127,2025-10,1269550.00000,m1
ENTID_44937555,708127,2025-10,1269550.00000,m1
ENTID_14023500,708127,2025-10,50782.00000,m1
ENTID_13574595,708127,2025-10,1218768.00000,m1
ENTID_136431110,708127,2025-10,710948.00000,m1
ENTID_13738000,708127,2025-10,0.00000,m1
ENTID_13926843,708127,2025-10,50782.00000,m1
ENTID_13617062,708127,2025-10,406256.00000,m1
ENTID_13685562,708127,2025-10,203128.00000,m1
ENTID_106172387,708127,2025-10,558602.00000,m1
ENTID_13995567,708127,2025-10,152346.00000,m1
ENTID_14066450,708127,2025-10,812512.00000,m1
ENTID_14069847,708127,2025-10,710948.00000,m1
ENTID_13808890,708127,2025-10,101564.00000,m1
ENTID_14018697,708127,2025-10,152346.00000,m1
ENTID_13800148,708127,2025-10,101564.00000,m1
ENTID_14285631,708127,2025-10,203128.00000,m1
ENTID_14306217,708127,2025-10,152346.00000,m1
ENTID_13583498,708127,2025-10,457038.00000,m1
ENTID_14377458,708127,2025-10,101564.00000,m1
ENTID_13840907,708127,2025-10,0.00000,m1
ENTID_13704946,708127,2025-10,253910.00000,m1
ENTID_13571940,708127,2025-10,964858.00000,m1
ENTID_14175625,708127,2025-10,152346.00000,m1
ENTID_13730728,708127,2025-10,152346.00000,m1
ENTID_13923999,708127,2025-10,253910.00000,m1
ENTID_88700286,708127,2025-10,0.00000,m1
ENTID_13846927,708127,2025-10,863294.00000,m1
ENTID_13879360,708127,2025-10,0.00000,m1
ENTID_45773245,708127,2025-10,152346.00000,m1
ENTID_13881017,708127,2025-10,0.00000,m1
ENTID_14326179,708127,2025-10,609384.00000,m1
ENTID_14071041,708127,2025-10,457038.00000,m1
ENTID_31051096,708127,2025-10,1371114.00000,m1
ENTID_13479823,708127,2025-10,355474.00000,m1
ENTID_13835459,708127,2025-10,1066422.00000,m1
ENTID_93528872,708127,2025-10,304692.00000,m1
ENTID_13713811,708127,2025-10,2183626.00000,m1
ENTID_13995081,708127,2025-10,203128.00000,m1
ENTID_14251336,708127,2025-10,0.00000,m1
ENTID_14392397,708127,2025-10,0.00000,m1
ENTID_95416389,708127,2025-10,761730.00000,m1
ENTID_13810944,708127,2025-10,355474.00000,m1
ENTID_14135103,708127,2025-10,50782.00000,m1
ENTID_14296406,708127,2025-10,0.00000,m1
ENTID_13990129,708127,2025-10,0.00000,m1
ENTID_14099211,708127,2025-10,152346.00000,m1
ENTID_47467078,708127,2025-10,812512.00000,m1
ENTID_131442576,708127,2025-10,50782.00000,m1
ENTID_14302049,708127,2025-10,0.00000,m1
ENTID_14288680,708127,2025-10,406256.00000,m1
ENTID_13734534,708127,2025-10,0.00000,m1
ENTID_13983717,708127,2025-10,0.00000,m1
ENTID_13683134,708127,2025-10,50782.00000,m1
ENTID_14099879,708127,2025-10,406256.00000,m1
ENTID_13478086,708127,2025-10,660166.00000,m1
ENTID_13990083,708127,2025-10,101564.00000,m1
ENTID_13626838,708127,2025-10,101564.00000,m1
ENTID_13481898,708127,2025-10,152346.00000,m1
ENTID_14303549,708127,2025-10,406256.00000,m1
ENTID_127717248,708127,2025-10,710948.00000,m1
ENTID_13590349,708127,2025-10,609384.00000,m1
ENTID_20034391,708127,2025-10,558602.00000,m1
ENTID_13673504,708127,2025-10,50782.00000,m1
ENTID_125057362,708127,2025-10,0.00000,m1
ENTID_14180249,708127,2025-10,761730.00000,m1
ENTID_13490921,708127,2025-10,609384.00000,m1
ENTID_13758742,708127,2025-10,1015640.00000,m1
ENTID_14325956,708127,2025-10,203128.00000,m1
ENTID_13822658,708127,2025-10,1726588.00000,m1
ENTID_14061044,708127,2025-10,101564.00000,m1
ENTID_13730284,708127,2025-10,660166.00000,m1
ENTID_13914287,708127,2025-10,1726588.00000,m1
ENTID_13980590,708127,2025-10,355474.00000,m1
ENTID_13983331,708127,2025-10,507820.00000,m1
ENTID_13836099,708127,2025-10,914076.00000,m1
ENTID_19197791,708127,2025-10,203128.00000,m1
ENTID_14401257,708127,2025-10,457038.00000,m1
ENTID_13583191,708127,2025-10,812512.00000,m1
ENTID_14352378,708127,2025-10,203128.00000,m1
ENTID_47247436,708127,2025-10,406256.00000,m1
ENTID_13675322,708127,2025-10,0.00000,m1
ENTID_13697985,708127,2025-10,152346.00000,m1
ENTID_13992573,708127,2025-10,507820.00000,m1
ENTID_14071116,708127,2025-10,406256.00000,m1
ENTID_13695092,708127,2025-10,0.00000,m1
ENTID_109580699,708127,2025-10,0.00000,m1
ENTID_14195819,708127,2025-10,0.00000,m1
ENTID_93512220,708127,2025-10,914076.00000,m1
ENTID_88734859,708127,2025-10,710948.00000,m1
ENTID_13703485,708127,2025-10,558602.00000,m1
ENTID_14240190,708127,2025-10,101564.00000,m1
ENTID_13606752,708127,2025-10,0.00000,m1
ENTID_14063323,708127,2025-10,203128.00000,m1
ENTID_13754405,708127,2025-10,253910.00000,m1
ENTID_14133046,708127,2025-10,0.00000,m1
ENTID_13564227,708127,2025-10,0.00000,m1
ENTID_13739336,708127,2025-10,507820.00000,m1
ENTID_13834364,708127,2025-10,0.00000,m1
ENTID_13598492,708127,2025-10,1117204.00000,m1
ENTID_146209630,708127,2025-10,0.00000,m1
ENTID_13748627,708127,2025-10,304692.00000,m1
ENTID_13979977,708127,2025-10,101564.00000,m1
ENTID_14195429,708127,2025-10,406256.00000,m1
ENTID_13521819,708127,2025-10,0.00000,m1
ENTID_14059027,708127,2025-10,0.00000,m1
ENTID_75360469,708127,2025-10,203128.00000,m1
ENTID_13497881,708127,2025-10,203128.00000,m1
ENTID_14183905,708127,2025-10,0.00000,m1
ENTID_14201059,708127,2025-10,101564.00000,m1
ENTID_13519766,708127,2025-10,0.00000,m1
ENTID_13729863,708127,2025-10,253910.00000,m1
ENTID_14390149,708127,2025-10,50782.00000,m1
ENTID_13669307,708127,2025-10,101564.00000,m1
ENTID_13840246,708127,2025-10,0.00000,m1
ENTID_14282360,708127,2025-10,1117204.00000,m1
ENTID_13753720,708127,2025-10,50782.00000,m1
ENTID_30829810,708127,2025-10,0.00000,m1
ENTID_14021673,708127,2025-10,609384.00000,m1
ENTID_13896018,708127,2025-10,0.00000,m1
ENTID_13994648,708127,2025-10,558602.00000,m1
ENTID_14086197,708127,2025-10,101564.00000,m1
ENTID_110564935,708127,2025-10,406256.00000,m1
ENTID_13813923,708127,2025-10,50782.00000,m1
ENTID_106688927,708127,2025-10,0.00000,m1
ENTID_13732700,708127,2025-10,0.00000,m1
ENTID_13920494,708127,2025-10,406256.00000,m1
ENTID_14094431,708127,2025-10,101564.00000,m1
ENTID_13892294,708127,2025-10,304692.00000,m1
ENTID_14182402,708127,2025-10,406256.00000,m1
ENTID_13534298,708127,2025-10,0.00000,m1
ENTID_13873287,708127,2025-10,152346.00000,m1
ENTID_14024294,708127,2025-10,406256.00000,m1
ENTID_14025915,708127,2025-10,304692.00000,m1
ENTID_13638093,708127,2025-10,152346.00000,m1
ENTID_13630616,708127,2025-10,101564.00000,m1
ENTID_13950601,708127,2025-10,1777370.00000,m1
ENTID_19146978,708127,2025-10,304692.00000,m1
ENTID_13713553,708127,2025-10,203128.00000,m1
ENTID_14183303,708127,2025-10,609384.00000,m1
ENTID_132993677,708127,2025-10,0.00000,m1
ENTID_13909997,708127,2025-10,0.00000,m1
ENTID_13587649,708127,2025-10,0.00000,m1
ENTID_105274953,708127,2025-10,1726588.00000,m1
ENTID_14365429,708127,2025-10,457038.00000,m1
ENTID_13753879,708127,2025-10,1523460.00000,m1
ENTID_13905505,708127,2025-10,152346.00000,m1
ENTID_14089000,708127,2025-10,304692.00000,m1
ENTID_88478978,708127,2025-10,0.00000,m1
ENTID_14278348,708127,2025-10,50782.00000,m1
ENTID_13610058,708127,2025-10,152346.00000,m1
ENTID_14082091,708127,2025-10,304692.00000,m1
ENTID_13901704,708127,2025-10,304692.00000,m1
ENTID_13877115,708127,2025-10,101564.00000,m1
ENTID_13683493,708127,2025-10,0.00000,m1
ENTID_110298903,708127,2025-10,203128.00000,m1
ENTID_14013224,708127,2025-10,0.00000,m1
ENTID_13668325,708127,2025-10,304692.00000,m1
ENTID_13662049,708127,2025-10,304692.00000,m1
ENTID_14050352,708127,2025-10,50782.00000,m1
ENTID_14184237,708127,2025-10,253910.00000,m1
ENTID_14074036,708127,2025-10,101564.00000,m1
ENTID_13591358,708127,2025-10,761730.00000,m1
ENTID_13942890,708127,2025-10,863294.00000,m1
ENTID_13496372,708127,2025-10,101564.00000,m1
ENTID_131443393,708127,2025-10,0.00000,m1
ENTID_14024217,708127,2025-10,0.00000,m1
ENTID_14354681,708127,2025-10,50782.00000,m1
ENTID_13988910,708127,2025-10,1472678.00000,m1
ENTID_13673876,708127,2025-10,101564.00000,m1
ENTID_13607137,708127,2025-10,1320332.00000,m1
ENTID_116967688,708127,2025-10,0.00000,m1
ENTID_95410014,708127,2025-10,152346.00000,m1
ENTID_14295157,708127,2025-10,203128.00000,m1
ENTID_13894520,708127,2025-10,964858.00000,m1
ENTID_43598042,708127,2025-10,0.00000,m1
ENTID_14301531,708127,2025-10,660166.00000,m1
ENTID_134961030,708127,2025-10,0.00000,m1
ENTID_19066906,708127,2025-10,914076.00000,m1
ENTID_13590508,708127,2025-10,152346.00000,m1
ENTID_13603265,708127,2025-10,50782.00000,m1
ENTID_115577406,708127,2025-10,1269550.00000,m1
ENTID_14268577,708127,2025-10,0.00000,m1
ENTID_13981955,708127,2025-10,0.00000,m1
ENTID_13973543,708127,2025-10,1167986.00000,m1
ENTID_13564595,708127,2025-10,406256.00000,m1
ENTID_13555535,708127,2025-10,1320332.00000,m1
ENTID_14122943,708127,2025-10,101564.00000,m1
ENTID_14202459,708127,2025-10,1320332.00000,m1
ENTID_13926999,708127,2025-10,1828152.00000,m1
ENTID_14134337,708127,2025-10,152346.00000,m1
ENTID_14136941,708127,2025-10,50782.00000,m1
ENTID_14303517,708127,2025-10,0.00000,m1
ENTID_14168898,708127,2025-10,355474.00000,m1
ENTID_104929387,708127,2025-10,914076.00000,m1
ENTID_13761433,708127,2025-10,1523460.00000,m1
ENTID_13561266,708127,2025-10,457038.00000,m1
ENTID_13679763,708127,2025-10,0.00000,m1
ENTID_13955404,708127,2025-10,1777370.00000,m1
ENTID_93604404,708127,2025-10,152346.00000,m1
ENTID_14156593,708127,2025-10,101564.00000,m1
ENTID_13729722,708127,2025-10,558602.00000,m1
ENTID_13896908,708127,2025-10,152346.00000,m1
ENTID_14069114,708127,2025-10,0.00000,m1
ENTID_13906192,708127,2025-10,1015640.00000,m1
ENTID_14121926,708127,2025-10,0.00000,m1
ENTID_13937539,708127,2025-10,457038.00000,m1
ENTID_13739772,708127,2025-10,558602.00000,m1
ENTID_13755441,708127,2025-10,203128.00000,m1
ENTID_98404230,708127,2025-10,0.00000,m1
ENTID_13993245,708127,2025-10,50782.00000,m1
ENTID_114254217,708127,2025-10,152346.00000,m1
ENTID_13985721,708127,2025-10,406256.00000,m1
ENTID_14067684,708127,2025-10,50782.00000,m1
ENTID_14120259,708127,2025-10,304692.00000,m1
ENTID_14051619,708127,2025-10,0.00000,m1
ENTID_13809795,708127,2025-10,0.00000,m1
ENTID_14058003,708127,2025-10,406256.00000,m1
ENTID_13577678,708127,2025-10,609384.00000,m1
ENTID_95529076,708127,2025-10,609384.00000,m1
ENTID_19157178,708127,2025-10,761730.00000,m1
ENTID_14290930,708127,2025-10,355474.00000,m1
ENTID_13903375,708127,2025-10,406256.00000,m1
ENTID_14201441,708127,2025-10,0.00000,m1
ENTID_13895251,708127,2025-10,304692.00000,m1
ENTID_14290638,708127,2025-10,0.00000,m1
ENTID_13937688,708127,2025-10,1574242.00000,m1
ENTID_13822319,708127,2025-10,152346.00000,m1
ENTID_98559848,708127,2025-10,761730.00000,m1
ENTID_14125561,708127,2025-10,0.00000,m1
ENTID_105907728,708127,2025-10,0.00000,m1
ENTID_13741746,708127,2025-10,0.00000,m1
ENTID_13585665,708127,2025-10,1726588.00000,m1
ENTID_13759224,708127,2025-10,0.00000,m1
ENTID_14099242,708127,2025-10,203128.00000,m1
ENTID_13755517,708127,2025-10,964858.00000,m1
ENTID_14153249,708127,2025-10,304692.00000,m1
ENTID_14236468,708127,2025-10,0.00000,m1
ENTID_128319082,708127,2025-10,355474.00000,m1
ENTID_14411061,708127,2025-10,0.00000,m1
ENTID_14244253,708127,2025-10,0.00000,m1
ENTID_14046335,708127,2025-10,1371114.00000,m1
ENTID_14127302,708127,2025-10,101564.00000,m1
ENTID_14120823,708127,2025-10,203128.00000,m1
ENTID_14203306,708127,2025-10,50782.00000,m1
ENTID_13670324,708127,2025-10,457038.00000,m1
ENTID_13715615,708127,2025-10,914076.00000,m1
ENTID_14283210,708127,2025-10,761730.00000,m1
ENTID_14086131,708127,2025-10,304692.00000,m1
ENTID_13934952,708127,2025-10,304692.00000,m1
ENTID_13848927,708127,2025-10,609384.00000,m1
ENTID_13992731,708127,2025-10,914076.00000,m1
ENTID_13926610,708127,2025-10,50782.00000,m1
ENTID_14142310,708127,2025-10,914076.00000,m1
ENTID_13905849,708127,2025-10,710948.00000,m1
ENTID_13566330,708127,2025-10,0.00000,m1
ENTID_94006128,708127,2025-10,0.00000,m1
ENTID_110166502,708127,2025-10,1625024.00000,m1
ENTID_13755719,708127,2025-10,152346.00000,m1
ENTID_14045519,708127,2025-10,0.00000,m1
ENTID_13487537,708127,2025-10,0.00000,m1
ENTID_13823628,708127,2025-10,0.00000,m1
ENTID_13563970,708127,2025-10,253910.00000,m1
ENTID_13731876,708127,2025-10,0.00000,m1
ENTID_13741187,708127,2025-10,812512.00000,m1
ENTID_14141298,708127,2025-10,304692.00000,m1
ENTID_14098101,708127,2025-10,355474.00000,m1
ENTID_14138836,708127,2025-10,203128.00000,m1
ENTID_13991783,708127,2025-10,1015640.00000,m1
ENTID_14139420,708127,2025-10,1066422.00000,m1
ENTID_46318685,708127,2025-10,0.00000,m1
ENTID_14403752,708127,2025-10,4214906.00000,m1
ENTID_14073484,708127,2025-10,0.00000,m1
ENTID_13617700,708127,2025-10,0.00000,m1
ENTID_14266900,708127,2025-10,152346.00000,m1
ENTID_13701093,708127,2025-10,4164124.00000,m1
ENTID_13974300,708127,2025-10,0.00000,m1
ENTID_14088869,708127,2025-10,761730.00000,m1
ENTID_14073273,708127,2025-10,558602.00000,m1
ENTID_13673097,708127,2025-10,1371114.00000,m1
ENTID_13518433,708127,2025-10,1117204.00000,m1
ENTID_19191647,708127,2025-10,0.00000,m1
ENTID_14040684,708127,2025-10,152346.00000,m1
ENTID_13624191,708127,2025-10,0.00000,m1
ENTID_13837123,708127,2025-10,507820.00000,m1
ENTID_13672481,708127,2025-10,914076.00000,m1
ENTID_75304359,708127,2025-10,0.00000,m1
ENTID_13866842,708127,2025-10,0.00000,m1
ENTID_99140883,708127,2025-10,558602.00000,m1
ENTID_13707957,708127,2025-10,304692.00000,m1
ENTID_14146906,708127,2025-10,50782.00000,m1
ENTID_13894641,708127,2025-10,304692.00000,m1
ENTID_13822607,708127,2025-10,253910.00000,m1
ENTID_13820747,708127,2025-10,457038.00000,m1
ENTID_14014532,708127,2025-10,0.00000,m1
ENTID_13849161,708127,2025-10,101564.00000,m1
ENTID_14077721,708127,2025-10,203128.00000,m1
ENTID_13587483,708127,2025-10,457038.00000,m1
ENTID_112040716,708127,2025-10,558602.00000,m1
