activity_date,customer_id,product_id,sevc_id,action,yrmoda
2025-05-13,ENTID_105458722,JP_708127-420004,a30VS000008AGWjYAO,Delivered,2025-05-13
2025-05-13,ENTID_105458722,JP_708127-420004,a30VS000008AGWjYAO,Opened,2025-05-13
2025-05-14,ENTID_105458722,JP_708127-420004,a30VS000008B34PYAS,Delivered,2025-05-14
2025-05-14,ENTID_105458722,JP_708127-420004,a30VS000008B34PYAS,Opened,2025-05-14
2025-06-09,ENTID_105458722,JP_708127-420004,a30VS000008YuCsYAK,Delivered,2025-06-09
2025-07-23,ENTID_105459354,JP_708127-420004,a30VS000009E5InYAK,Delivered,2025-07-23
2025-05-22,ENTID_105462070,JP_708127-420004,a30VS000008JguzYAC,Delivered,2025-05-22
2025-05-23,ENTID_105462070,JP_708127-420004,a30VS000008JguzYAC,Opened,2025-05-23
2025-06-26,ENTID_105462070,JP_708127-420004,a30VS000008oX94YAE,Delivered,2025-06-26
2025-06-26,ENTID_105462070,JP_708127-420004,a30VS000008oX94YAE,Opened,2025-06-26
2025-07-15,ENTID_105462070,JP_708127-420004,a30VS0000095gJBYAY,Delivered,2025-07-15
2025-07-15,ENTID_105462070,JP_708127-420004,a30VS0000095gJBYAY,Opened,2025-07-15
2025-08-04,ENTID_105462070,JP_708127-420004,a30VS000009PBW9YAO,Delivered,2025-08-04
2025-08-04,ENTID_105462070,JP_708127-420004,a30VS000009PBW9YAO,Opened,2025-08-04
2025-08-26,ENTID_105462070,JP_708127-420004,a30VS000009ifNFYAY,Delivered,2025-08-26
2025-08-26,ENTID_105462070,JP_708127-420004,a30VS000009ifNFYAY,Opened,2025-08-26
2025-09-11,ENTID_105462070,JP_708127-420004,a30VS00000A0iJRYAZ,Delivered,2025-09-11
2025-09-11,ENTID_105462070,JP_708127-420004,a30VS00000A0iJRYAZ,Opened,2025-09-11
2025-06-26,ENTID_113771119,JP_708127-420004,a30VS000008oWeRYAU,Delivered,2025-06-26
2025-06-26,ENTID_113771119,JP_708127-420004,a30VS000008oWeRYAU,Opened,2025-06-26
2025-06-25,ENTID_113773378,JP_708127-420004,a30VS000008oXsDYAU,Delivered,2025-06-25
2025-07-15,ENTID_113773378,JP_708127-420004,a30VS0000095g33YAA,Delivered,2025-07-15
2025-07-24,ENTID_113773378,JP_708127-420004,a30VS0000095g33YAA,Opened,2025-07-24
2025-08-04,ENTID_113773378,JP_708127-420004,a30VS000009PBO5YAO,Delivered,2025-08-04
2025-08-07,ENTID_113773378,JP_708127-420004,a30VS000009PBO5YAO,Opened,2025-08-07
2025-08-26,ENTID_113773378,JP_708127-420004,a30VS000009if8jYAA,Delivered,2025-08-26
2025-09-01,ENTID_113773378,JP_708127-420004,a30VS000009if8jYAA,Opened,2025-09-01
2025-09-11,ENTID_113773378,JP_708127-420004,a30VS00000A0iCzYAJ,Delivered,2025-09-11
2025-09-19,ENTID_113773378,JP_708127-420004,a30VS00000A0iCzYAJ,Opened,2025-09-19
2025-05-14,ENTID_12417666,JP_708127-420004,a30VS000008AEGPYA4,Clicked,2025-05-14
2025-05-13,ENTID_12417666,JP_708127-420004,a30VS000008AEGPYA4,Delivered,2025-05-13
2025-05-13,ENTID_12417666,JP_708127-420004,a30VS000008AEGPYA4,Opened,2025-05-13
2025-05-14,ENTID_12417666,JP_708127-420004,a30VS000008B2jRYAS,Clicked,2025-05-14
2025-05-14,ENTID_12417666,JP_708127-420004,a30VS000008B2jRYAS,Delivered,2025-05-14
2025-05-14,ENTID_12417666,JP_708127-420004,a30VS000008B2jRYAS,Opened,2025-05-14
2025-05-02,ENTID_12423256,JP_708127-420004,a30VS0000080SR7YAM,Delivered,2025-05-02
2025-05-08,ENTID_12423256,JP_708127-420004,a30VS0000080SR7YAM,Opened,2025-05-08
2025-05-01,ENTID_12424703,JP_708127-420004,a30VS000007zjDtYAI,Delivered,2025-05-01
2025-04-15,ENTID_12426412,JP_708127-420004,a30VS000007lzVRYAY,Delivered,2025-04-15
2025-04-15,ENTID_12426412,JP_708127-420004,a30VS000007lzVRYAY,Opened,2025-04-15
2025-06-25,ENTID_12426412,JP_708127-420004,a30VS000008neR7YAI,Delivered,2025-06-25
2025-06-25,ENTID_12426412,JP_708127-420004,a30VS000008neR7YAI,Opened,2025-06-25
2025-07-02,ENTID_12454458,JP_708127-420004,a30VS000008u7TdYAI,Clicked,2025-07-02
2025-07-01,ENTID_12454458,JP_708127-420004,a30VS000008u7TdYAI,Delivered,2025-07-01
2025-07-02,ENTID_12454458,JP_708127-420004,a30VS000008u7TdYAI,Opened,2025-07-02
2025-10-03,ENTID_12454458,JP_708127-420004,a30VS00000ALwhZYAT,Delivered,2025-10-03
2025-10-06,ENTID_12454458,JP_708127-420004,a30VS00000AMedlYAD,Clicked,2025-10-06
2025-10-05,ENTID_12454458,JP_708127-420004,a30VS00000AMedlYAD,Delivered,2025-10-05
2025-10-06,ENTID_12454458,JP_708127-420004,a30VS00000AMedlYAD,Opened,2025-10-06
2025-06-04,ENTID_12462761,JP_708127-420004,a30VS000008Unl4YAC,Delivered,2025-06-04
2025-06-04,ENTID_12462761,JP_708127-420004,a30VS000008Unl4YAC,Opened,2025-06-04
2025-03-24,ENTID_12476478,JP_708127-420004,a30VS000007K8GjYAK,Delivered,2025-03-24
2025-04-03,ENTID_12476478,JP_708127-420004,a30VS000007XTlZYAW,Delivered,2025-04-03
2025-05-01,ENTID_12479334,JP_708127-420004,a30VS000007zsKPYAY,Delivered,2025-05-01
2025-03-20,ENTID_12481192,JP_708127-420004,a30VS000007Hc6gYAC,Delivered,2025-03-20
2025-03-21,ENTID_12481192,JP_708127-420004,a30VS000007Hc6gYAC,Opened,2025-03-21
2025-03-24,ENTID_12481192,JP_708127-420004,a30VS000007K9r7YAC,Delivered,2025-03-24
2025-03-25,ENTID_12481192,JP_708127-420004,a30VS000007K9r7YAC,Opened,2025-03-25
2025-04-03,ENTID_12481192,JP_708127-420004,a30VS000007alM9YAI,Delivered,2025-04-03
2025-04-03,ENTID_12481192,JP_708127-420004,a30VS000007alM9YAI,Opened,2025-04-03
2025-04-15,ENTID_12481192,JP_708127-420004,a30VS000007lhFBYAY,Delivered,2025-04-15
2025-04-15,ENTID_12481192,JP_708127-420004,a30VS000007lhFBYAY,Opened,2025-04-15
2025-05-08,ENTID_12481192,JP_708127-420004,a30VS0000086V69YAE,Delivered,2025-05-08
2025-05-08,ENTID_12481192,JP_708127-420004,a30VS0000086V69YAE,Opened,2025-05-08
2025-05-13,ENTID_12481192,JP_708127-420004,a30VS000008AwPVYA0,Delivered,2025-05-13
2025-05-14,ENTID_12481192,JP_708127-420004,a30VS000008AwPVYA0,Opened,2025-05-14
2025-05-23,ENTID_12481192,JP_708127-420004,a30VS000008JfHOYA0,Delivered,2025-05-23
2025-05-23,ENTID_12481192,JP_708127-420004,a30VS000008JfHOYA0,Opened,2025-05-23
2025-05-01,ENTID_12484151,JP_708127-420004,a30VS000007zj2bYAA,Delivered,2025-05-01
2025-05-06,ENTID_12487690,JP_708127-420004,a30VS0000083sC9YAI,Delivered,2025-05-06
2025-05-06,ENTID_12487690,JP_708127-420004,a30VS0000083sC9YAI,Opened,2025-05-06
2025-06-23,ENTID_12488359,JP_708127-420004,a30VS000008lillYAA,Clicked,2025-06-23
2025-06-23,ENTID_12488359,JP_708127-420004,a30VS000008lillYAA,Delivered,2025-06-23
2025-06-23,ENTID_12488359,JP_708127-420004,a30VS000008lillYAA,Opened,2025-06-23
2025-05-12,ENTID_12495172,JP_708127-420004,a30VS0000089Bu6YAE,Delivered,2025-05-12
2025-03-20,ENTID_12495857,JP_708127-420004,a30VS000007GaY9YAK,Delivered,2025-03-20
2025-03-24,ENTID_12495857,JP_708127-420004,a30VS000007K9EPYA0,Delivered,2025-03-24
2025-04-03,ENTID_12495857,JP_708127-420004,a30VS000007agMTYAY,Delivered,2025-04-03
2025-04-15,ENTID_12495857,JP_708127-420004,a30VS000007lfdBYAQ,Delivered,2025-04-15
2025-05-13,ENTID_12495857,JP_708127-420004,a30VS000008AvjZYAS,Delivered,2025-05-13
2025-05-22,ENTID_12495857,JP_708127-420004,a30VS000008JhHZYA0,Delivered,2025-05-22
2025-05-01,ENTID_12495896,JP_708127-420004,a30VS000007zjAfYAI,Delivered,2025-05-01
2025-05-02,ENTID_12496020,JP_708127-420004,a30VS0000080SMHYA2,Delivered,2025-05-02
2025-04-10,ENTID_12496028,JP_708127-420004,a30VS000007hb0HYAQ,Delivered,2025-04-10
2025-04-10,ENTID_12496028,JP_708127-420004,a30VS000007hb0HYAQ,Opened,2025-04-10
2025-09-10,ENTID_12496028,JP_708127-420004,a30VS000009q48nYAA,Clicked,2025-09-10
2025-09-01,ENTID_12496028,JP_708127-420004,a30VS000009q48nYAA,Delivered,2025-09-01
2025-09-01,ENTID_12496028,JP_708127-420004,a30VS000009q48nYAA,Opened,2025-09-01
2025-04-04,ENTID_12496651,JP_708127-420004,a30VS000007blC1YAI,Delivered,2025-04-04
2025-04-04,ENTID_12496651,JP_708127-420004,a30VS000007blC1YAI,Opened,2025-04-04
2025-04-15,ENTID_12496651,JP_708127-420004,a30VS000007mRUwYAM,Delivered,2025-04-15
2025-04-16,ENTID_12496651,JP_708127-420004,a30VS000007mRUwYAM,Opened,2025-04-16
2025-05-14,ENTID_12496651,JP_708127-420004,a30VS000008B48XYAS,Delivered,2025-05-14
2025-05-14,ENTID_12496651,JP_708127-420004,a30VS000008B48XYAS,Opened,2025-05-14
2025-10-06,ENTID_12496651,JP_708127-420004,a30VS00000AO5TpYAL,Delivered,2025-10-06
2025-10-06,ENTID_12496651,JP_708127-420004,a30VS00000AO5TpYAL,Opened,2025-10-06
2025-05-02,ENTID_12507408,JP_708127-420004,a30VS0000080SZBYA2,Delivered,2025-05-02
2025-05-01,ENTID_12515586,JP_708127-420004,a30VS000007ziksYAA,Delivered,2025-05-01
2025-05-01,ENTID_12515586,JP_708127-420004,a30VS000007ziksYAA,Opened,2025-05-01
2025-08-08,ENTID_12515913,JP_708127-420004,a30VS000009SXlSYAW,Delivered,2025-08-08
2025-08-08,ENTID_12515913,JP_708127-420004,a30VS000009SXlSYAW,Opened,2025-08-08
2025-08-04,ENTID_12518435,JP_708127-420004,a30VS000009OOs2YAG,Delivered,2025-08-04
2025-08-04,ENTID_12518435,JP_708127-420004,a30VS000009PC0nYAG,Delivered,2025-08-04
2025-04-21,ENTID_12523172,JP_708127-420004,a30VS000007qnLZYAY,Delivered,2025-04-21
2025-04-21,ENTID_12523172,JP_708127-420004,a30VS000007qnLZYAY,Opened,2025-04-21
2025-05-28,ENTID_12523172,JP_708127-420004,a30VS000008O8MQYA0,Delivered,2025-05-28
2025-05-28,ENTID_12523172,JP_708127-420004,a30VS000008O8MQYA0,Opened,2025-05-28
2025-04-04,ENTID_12523954,JP_708127-420004,a30VS000007bjN8YAI,Delivered,2025-04-04
2025-04-04,ENTID_12523954,JP_708127-420004,a30VS000007bjN8YAI,Opened,2025-04-04
2025-05-02,ENTID_12525171,JP_708127-420004,a30VS0000080SVxYAM,Delivered,2025-05-02
2025-06-04,ENTID_12528237,JP_708127-420004,a30VS000008UnujYAC,Delivered,2025-06-04
2025-04-14,ENTID_12530325,JP_708127-420004,a30VS000007kpebYAA,Delivered,2025-04-14
2025-05-01,ENTID_12530325,JP_708127-420004,a30VS000007zsDxYAI,Delivered,2025-05-01
2025-05-01,ENTID_12530325,JP_708127-420004,a30VS000007zsDxYAI,Opened,2025-05-01
2025-05-01,ENTID_12532316,JP_708127-420004,a30VS000007ziZaYAI,Delivered,2025-05-01
2025-03-20,ENTID_12539109,JP_708127-420004,a30VS000007GaTJYA0,Delivered,2025-03-20
2025-03-23,ENTID_12539109,JP_708127-420004,a30VS000007GaTJYA0,Opened,2025-03-23
2025-03-24,ENTID_12539109,JP_708127-420004,a30VS000007K99ZYAS,Delivered,2025-03-24
2025-04-03,ENTID_12539109,JP_708127-420004,a30VS000007agKrYAI,Delivered,2025-04-03
2025-04-15,ENTID_12539109,JP_708127-420004,a30VS000007lfJpYAI,Delivered,2025-04-15
2025-05-08,ENTID_12539109,JP_708127-420004,a30VS0000086RddYAE,Delivered,2025-05-08
2025-05-13,ENTID_12539109,JP_708127-420004,a30VS000008AvJmYAK,Delivered,2025-05-13
2025-05-22,ENTID_12539109,JP_708127-420004,a30VS000008JhCjYAK,Delivered,2025-05-22
2025-05-23,ENTID_12539109,JP_708127-420004,a30VS000008JhCjYAK,Opened,2025-05-23
2025-06-24,ENTID_12539109,JP_708127-420004,a30VS000008nWGgYAM,Delivered,2025-06-24
2025-07-15,ENTID_12542202,JP_708127-420004,a30VS0000095hVNYAY,Delivered,2025-07-15
2025-07-15,ENTID_12542202,JP_708127-420004,a30VS0000095hVNYAY,Opened,2025-07-15
2025-08-04,ENTID_12542202,JP_708127-420004,a30VS000009PBj4YAG,Delivered,2025-08-04
2025-08-14,ENTID_12542202,JP_708127-420004,a30VS000009PBj4YAG,Opened,2025-08-14
2025-08-26,ENTID_12542202,JP_708127-420004,a30VS000009igRNYAY,Delivered,2025-08-26
2025-08-28,ENTID_12542202,JP_708127-420004,a30VS000009igRNYAY,Opened,2025-08-28
2025-09-11,ENTID_12542202,JP_708127-420004,a30VS00000A0ixlYAB,Delivered,2025-09-11
2025-09-18,ENTID_12542202,JP_708127-420004,a30VS00000A0ixlYAB,Opened,2025-09-18
2025-10-05,ENTID_12542202,JP_708127-420004,a30VS00000ANlDPYA1,Delivered,2025-10-05
2025-10-07,ENTID_12542202,JP_708127-420004,a30VS00000ANlDPYA1,Opened,2025-10-07
2025-04-04,ENTID_12543557,JP_708127-420004,a30VS000007bjGfYAI,Delivered,2025-04-04
2025-04-04,ENTID_12543557,JP_708127-420004,a30VS000007bjGfYAI,Opened,2025-04-04
2025-05-01,ENTID_12547243,JP_708127-420004,a30VS000007zh0qYAA,Delivered,2025-05-01
2025-05-01,ENTID_12547243,JP_708127-420004,a30VS000007zh0qYAA,Opened,2025-05-01
2025-08-04,ENTID_12547599,JP_708127-420004,a30VS000009OaLJYA0,Clicked,2025-08-04
2025-08-04,ENTID_12547599,JP_708127-420004,a30VS000009OaLJYA0,Delivered,2025-08-04
2025-08-04,ENTID_12547599,JP_708127-420004,a30VS000009OaLJYA0,Opened,2025-08-04
2025-04-04,ENTID_12549930,JP_708127-420004,a30VS000007bjADYAY,Delivered,2025-04-04
2025-04-16,ENTID_12549930,JP_708127-420004,a30VS000007mZp4YAE,Delivered,2025-04-16
2025-04-20,ENTID_12554682,JP_708127-420004,a30VS000005vnsMYAQ,Opened,2025-04-20
2025-05-02,ENTID_12559611,JP_708127-420004,a30VS0000080O4BYAU,Delivered,2025-05-02
2025-05-01,ENTID_12560300,JP_708127-420004,a30VS000007zgCpYAI,Delivered,2025-05-01
2025-05-01,ENTID_12560300,JP_708127-420004,a30VS000007zgCpYAI,Opened,2025-05-01
2025-06-04,ENTID_12561465,JP_708127-420004,a30VS000008UmCIYA0,Delivered,2025-06-04
